ticker,cik,fiscal_year,revenue,ebit,ebitda,interest_expense,tax_expense,net_income,d_and_a,capex,assets_current,liabilities_current,cash,short_term_borrowings,long_term_debt_current,long_term_debt_noncurrent,gross_debt,net_debt,shares_out,nwc,delta_nwc,effective_tax_rate
ORCL,0001341439,2022,42440000000,10926000000,12898000000,2755000000,932000000,6717000000,1972000000,4511000000,31633000000,19511000000,21383000000,3749000000,,0,3749000000,-17634000000,,-13010000000,-6065000000,0.12184599294025363
ORCL,0001341439,2023,49954000000,13093000000,15619000000,3505000000,623000000,8503000000,2526000000,8695000000,21004000000,23090000000,9765000000,4061000000,,,4061000000,-5704000000,,-15912000000,-2902000000,0.06826649134341442
ORCL,0001341439,2024,52961000000,15353000000,18482000000,3514000000,1274000000,10467000000,3129000000,6866000000,22554000000,31544000000,10454000000,10605000000,,,10605000000,151000000,,-30049000000,-14137000000,0.10850864491951281
ORCL,0001341439,2025,57399000000,17678000000,21545000000,3578000000,1717000000,12443000000,3867000000,21215000000,24579000000,32643000000,10786000000,7271000000,,,7271000000,-3515000000,,-26121000000,3928000000,0.12125706214689265
INTC,0000050863,2020,77867000000,23678000000,34160000000,629000000,4179000000,20899000000,10482000000,14259000000,47249000000,24754000000,,2504000000,2504000000,33897000000,38905000000,,,17487000000,,0.16664008294122337
INTC,0000050863,2021,79024000000,19456000000,29409000000,597000000,1835000000,19868000000,9953000000,18733000000,57718000000,27462000000,,4591000000,4591000000,33510000000,42692000000,,,21074000000,3587000000,0.08455052296917477
INTC,0000050863,2022,63054000000,2334000000,13462000000,496000000,-249000000,8014000000,11128000000,24844000000,50407000000,32155000000,,4367000000,423000000,37684000000,42474000000,,,13462000000,-7612000000,-0.03206696716033484
INTC,0000050863,2023,54228000000,93000000,7940000000,878000000,-913000000,1689000000,7847000000,25750000000,43269000000,28053000000,,2288000000,2288000000,46978000000,51554000000,,,10640000000,-2822000000,-1.1765463917525774
INTC,0000050863,2024,53101000000,-11678000000,-1727000000,,8023000000,-18756000000,9951000000,23944000000,47324000000,35666000000,,3729000000,3729000000,46282000000,53740000000,,,4200000000,-6440000000,
CSCO,0000858877,2021,,12833000000,13633000000,434000000,2671000000,10591000000,800000000,692000000,39112000000,26257000000,9175000000,,2508000000,9018000000,11526000000,2351000000,,1172000000,,0.20140250339315338
CSCO,0000858877,2022,,13969000000,14769000000,360000000,2665000000,11812000000,800000000,477000000,36717000000,25640000000,7079000000,,499000000,8416000000,8915000000,1836000000,,3499000000,2327000000,0.18408510050424812
CSCO,0000858877,2023,,15031000000,15731000000,427000000,2705000000,12613000000,700000000,849000000,43348000000,31309000000,10123000000,,1733000000,6658000000,8391000000,-1732000000,,183000000,-3316000000,0.17658963311137224
